Body Type,Event Type,Preferred Colors,Season,Fabric Type,Gender,Price Range,Occasion Suitability Score,Style Category
Oval,Casual,['Black'],Fall,Silk,Unisex,Budget,7.4,Glam
Hourglass,Party,"['Silver', 'Green', 'Red']",Fall,Polyester,Unisex,Luxury,8.9,Bohemian
Inverted Triangle,Party,"['Red', 'Gold']",Fall,Polyester,Female,Mid-range,2.1,Business Casual
Rectangle,Casual,['Black'],Fall,Silk,Female,Budget,7.1,Glam
Inverted Triangle,Business,"['Red', 'Blue', 'Green']",Fall,Silk,Male,Mid-range,3.0,Formal
Hourglass,Casual,"['Black', 'Red', 'Gold']",Winter,Wool,Female,Budget,8.4,Streetwear
Pear,Party,['Green'],Spring,Polyester,Female,Mid-range,8.5,Bohemian
Oval,Business,"['White', 'Gold']",Fall,Silk,Unisex,Budget,7.3,Streetwear
Rectangle,Formal,"['Neutral', 'Blue', 'Green']",Spring,Cotton,Male,Luxury,8.7,Formal
Inverted Triangle,Party,"['Gold', 'Silver']",Fall,Cotton,Unisex,Luxury,2.7,Glam
Pear,Casual,"['Neutral', 'Red']",Winter,Wool,Male,Budget,9.1,Glam
Inverted Triangle,Party,['White'],Summer,Polyester,Male,Mid-range,5.1,Bohemian
Oval,Wedding,"['Gold', 'Silver', 'White']",Fall,Polyester,Unisex,Luxury,8.4,Business Casual
Pear,Party,"['Blue', 'Green', 'Neutral']",Winter,Wool,Female,Luxury,10.0,Bohemian
Pear,Casual,['Blue'],Spring,Cotton,Female,Luxury,3.9,Business Casual
Inverted Triangle,Business,"['Silver', 'Black']",Winter,Wool,Unisex,Mid-range,4.5,Streetwear
Rectangle,Formal,"['Gold', 'Silver']",Winter,Wool,Female,Luxury,10.0,Glam
Inverted Triangle,Business,"['Red', 'Gold', 'Neutral']",Spring,Cotton,Female,Luxury,8.6,Glam
Inverted Triangle,Casual,['Silver'],Summer,Silk,Male,Budget,3.8,Streetwear
Inverted Triangle,Casual,"['Neutral', 'Green']",Summer,Polyester,Female,Budget,4.3,Business Casual
Oval,Formal,"['White', 'Red']",Summer,Polyester,Male,Mid-range,6.1,Business Casual
Inverted Triangle,Party,['Blue'],Winter,Denim,Female,Budget,9.4,Glam
Rectangle,Casual,"['White', 'Red', 'Black']",Winter,Polyester,Male,Budget,8.8,Glam
Oval,Party,['Red'],Spring,Cotton,Female,Mid-range,3.8,Business Casual
Rectangle,Business,"['Silver', 'Gold', 'Black']",Spring,Cotton,Unisex,Mid-range,7.1,Glam
Oval,Casual,['Black'],Fall,Cotton,Unisex,Budget,1.9,Glam
Rectangle,Party,"['Neutral', 'Gold', 'Silver']",Fall,Cotton,Female,Luxury,6.0,Formal
Pear,Casual,"['Green', 'Black']",Fall,Silk,Male,Budget,3.7,Glam
Hourglass,Formal,"['White', 'Black', 'Green']",Spring,Cotton,Unisex,Mid-range,8.0,Glam
Hourglass,Party,"['White', 'Silver', 'Green']",Fall,Cotton,Female,Mid-range,8.9,Bohemian
Pear,Business,"['Black', 'Blue', 'Neutral']",Fall,Cotton,Unisex,Luxury,6.1,Streetwear
Hourglass,Casual,['Blue'],Spring,Cotton,Female,Luxury,7.1,Formal
Rectangle,Casual,"['Neutral', 'Gold', 'Green']",Summer,Polyester,Female,Luxury,3.4,Business Casual
Rectangle,Business,['White'],Fall,Cotton,Unisex,Budget,9.3,Bohemian
Oval,Party,"['White', 'Black']",Summer,Silk,Male,Luxury,5.2,Streetwear
Rectangle,Wedding,"['Gold', 'Red', 'Blue']",Winter,Wool,Unisex,Mid-range,3.6,Formal
Rectangle,Formal,"['Neutral', 'Silver']",Fall,Cotton,Unisex,Mid-range,4.7,Glam
Rectangle,Casual,"['Green', 'Silver']",Fall,Cotton,Female,Mid-range,3.2,Business Casual
Pear,Formal,['Black'],Winter,Denim,Unisex,Luxury,2.6,Formal
Oval,Formal,"['Green', 'Blue', 'Gold']",Winter,Polyester,Male,Budget,8.8,Glam
Oval,Formal,"['Red', 'Blue']",Spring,Cotton,Male,Luxury,3.2,Formal
Oval,Party,['Green'],Summer,Cotton,Female,Mid-range,8.2,Glam
Hourglass,Casual,"['Silver', 'Green']",Spring,Polyester,Male,Budget,4.9,Bohemian
Pear,Business,['Black'],Summer,Cotton,Female,Luxury,1.5,Bohemian
Pear,Formal,"['Blue', 'White', 'Green']",Summer,Cotton,Female,Budget,9.2,Formal
Oval,Wedding,"['Gold', 'Black', 'Blue']",Winter,Wool,Male,Budget,8.5,Bohemian
Hourglass,Casual,"['Silver', 'Gold', 'Blue']",Winter,Wool,Male,Luxury,6.9,Business Casual
Pear,Formal,"['Gold', 'Silver']",Summer,Cotton,Unisex,Mid-range,7.1,Business Casual
Oval,Casual,"['Neutral', 'Black', 'Red']",Winter,Polyester,Male,Budget,5.6,Bohemian
Pear,Business,"['Red', 'Blue', 'Black']",Winter,Denim,Unisex,Budget,9.1,Business Casual
Rectangle,Business,"['Blue', 'White', 'Neutral']",Spring,Polyester,Unisex,Luxury,1.0,Business Casual
Hourglass,Party,['Silver'],Fall,Cotton,Male,Luxury,8.3,Glam
Rectangle,Formal,['Neutral'],Summer,Silk,Female,Budget,8.1,Glam
Rectangle,Casual,['Green'],Spring,Cotton,Male,Luxury,8.2,Bohemian
Hourglass,Casual,['Silver'],Winter,Wool,Unisex,Budget,8.1,Business Casual
Oval,Party,"['Gold', 'Green']",Summer,Polyester,Female,Budget,4.4,Business Casual
Oval,Casual,"['Red', 'Blue', 'White']",Fall,Cotton,Unisex,Budget,9.4,Streetwear
Oval,Casual,['Green'],Spring,Cotton,Unisex,Luxury,8.3,Business Casual
Hourglass,Party,"['Green', 'Blue', 'Neutral']",Winter,Denim,Unisex,Mid-range,6.9,Streetwear
Hourglass,Business,"['Red', 'Black', 'Green']",Spring,Cotton,Unisex,Mid-range,8.9,Business Casual
Inverted Triangle,Casual,['Neutral'],Spring,Cotton,Female,Luxury,6.0,Formal
Rectangle,Casual,"['Green', 'Black', 'Silver']",Winter,Wool,Female,Budget,1.1,Business Casual
Pear,Casual,"['Green', 'Neutral', 'Silver']",Spring,Cotton,Unisex,Budget,8.5,Formal
Inverted Triangle,Party,"['Gold', 'Black']",Spring,Silk,Female,Mid-range,2.6,Business Casual
Inverted Triangle,Casual,"['White', 'Neutral', 'Gold']",Winter,Denim,Unisex,Budget,2.5,Glam
Oval,Casual,['Silver'],Fall,Silk,Unisex,Budget,4.4,Bohemian
Inverted Triangle,Wedding,"['Neutral', 'Blue']",Winter,Wool,Male,Budget,7.8,Business Casual
Oval,Casual,['Gold'],Fall,Silk,Male,Mid-range,3.3,Formal
Pear,Formal,['White'],Spring,Cotton,Male,Mid-range,7.6,Glam
Rectangle,Business,"['Gold', 'Silver', 'Red']",Summer,Silk,Female,Mid-range,8.5,Glam
Hourglass,Wedding,"['Red', 'Blue', 'Neutral']",Winter,Denim,Unisex,Luxury,8.1,Bohemian
Hourglass,Formal,"['Black', 'Red']",Summer,Cotton,Unisex,Mid-range,6.5,Formal
Inverted Triangle,Formal,['Black'],Spring,Silk,Male,Mid-range,7.5,Business Casual
Hourglass,Party,"['Neutral', 'Silver', 'Green']",Fall,Silk,Male,Budget,1.0,Business Casual
Pear,Casual,['Neutral'],Fall,Silk,Female,Mid-range,6.3,Formal
Rectangle,Casual,['White'],Summer,Cotton,Male,Budget,2.2,Formal
Inverted Triangle,Party,"['Blue', 'Green', 'Silver']",Winter,Polyester,Male,Luxury,3.6,Formal
Inverted Triangle,Formal,"['Gold', 'Green', 'White']",Winter,Wool,Unisex,Luxury,9.7,Formal
Oval,Formal,"['Black', 'White', 'Red']",Summer,Cotton,Female,Mid-range,4.1,Glam
Inverted Triangle,Party,"['Gold', 'Red', 'Green']",Winter,Denim,Male,Luxury,1.5,Business Casual
Pear,Party,"['Gold', 'Black', 'Silver']",Summer,Silk,Male,Luxury,9.7,Streetwear
Pear,Casual,['Silver'],Fall,Cotton,Unisex,Luxury,2.1,Glam
Pear,Casual,"['Blue', 'Gold']",Summer,Cotton,Male,Budget,9.4,Formal
Oval,Business,"['Green', 'Red']",Winter,Wool,Female,Luxury,8.1,Streetwear
Hourglass,Business,['Silver'],Spring,Cotton,Male,Luxury,4.5,Business Casual
Inverted Triangle,Business,['Silver'],Fall,Polyester,Female,Luxury,4.7,Business Casual
Pear,Casual,"['Neutral', 'White', 'Gold']",Summer,Polyester,Unisex,Luxury,3.2,Formal
Inverted Triangle,Formal,"['Blue', 'Red', 'Gold']",Fall,Cotton,Male,Mid-range,6.6,Glam
Rectangle,Formal,"['Gold', 'Green', 'Red']",Winter,Denim,Female,Budget,9.2,Formal
Rectangle,Business,"['Gold', 'Neutral']",Fall,Silk,Male,Budget,3.8,Business Casual
Oval,Business,"['Neutral', 'White']",Summer,Cotton,Unisex,Mid-range,3.1,Streetwear
Pear,Business,"['Black', 'Green']",Winter,Polyester,Unisex,Budget,4.3,Streetwear
Inverted Triangle,Party,"['White', 'Red']",Summer,Cotton,Unisex,Budget,8.1,Streetwear
Inverted Triangle,Casual,['Red'],Winter,Polyester,Unisex,Budget,1.4,Streetwear
Pear,Wedding,"['Red', 'White']",Summer,Polyester,Unisex,Budget,4.9,Bohemian
Pear,Casual,['Green'],Fall,Cotton,Unisex,Mid-range,8.2,Glam
Oval,Casual,"['Red', 'Black', 'Green']",Summer,Silk,Male,Luxury,2.5,Streetwear
Hourglass,Formal,"['Blue', 'Silver', 'Green']",Winter,Wool,Unisex,Budget,3.0,Formal
Hourglass,Casual,['Gold'],Winter,Denim,Male,Luxury,8.4,Formal
Hourglass,Party,['Silver'],Fall,Silk,Unisex,Luxury,3.2,Formal
Hourglass,Casual,"['White', 'Silver', 'Green']",Summer,Polyester,Unisex,Mid-range,2.0,Bohemian
Oval,Party,"['White', 'Neutral']",Fall,Silk,Unisex,Luxury,3.4,Formal
Hourglass,Wedding,"['Green', 'Blue', 'Neutral']",Winter,Wool,Male,Budget,7.1,Bohemian
Pear,Formal,['Blue'],Winter,Wool,Unisex,Mid-range,1.3,Formal
Rectangle,Wedding,"['Neutral', 'Silver']",Fall,Silk,Male,Mid-range,3.1,Streetwear
Oval,Wedding,"['Gold', 'Silver', 'Black']",Fall,Polyester,Male,Mid-range,9.9,Streetwear
Rectangle,Formal,"['Silver', 'Blue', 'Black']",Spring,Cotton,Female,Luxury,1.4,Glam
Hourglass,Party,"['Silver', 'White']",Winter,Polyester,Male,Luxury,5.0,Streetwear
Hourglass,Formal,"['Red', 'Blue']",Summer,Polyester,Female,Luxury,6.7,Formal
Pear,Casual,"['White', 'Black', 'Blue']",Summer,Cotton,Unisex,Mid-range,6.0,Formal
Hourglass,Formal,['Gold'],Summer,Silk,Male,Luxury,5.8,Glam
Inverted Triangle,Formal,['Neutral'],Fall,Cotton,Unisex,Mid-range,2.0,Glam
Inverted Triangle,Formal,"['Green', 'White', 'Silver']",Winter,Polyester,Female,Mid-range,7.0,Business Casual
Rectangle,Party,"['White', 'Red', 'Gold']",Summer,Silk,Female,Luxury,6.9,Formal
Inverted Triangle,Casual,['Black'],Winter,Denim,Female,Luxury,1.6,Streetwear
Inverted Triangle,Business,['Neutral'],Fall,Cotton,Male,Budget,5.4,Business Casual
Inverted Triangle,Casual,"['Gold', 'Red', 'Green']",Winter,Wool,Female,Budget,4.6,Streetwear
Oval,Casual,['Neutral'],Fall,Silk,Male,Budget,5.2,Streetwear
Hourglass,Casual,"['Gold', 'White', 'Blue']",Winter,Wool,Unisex,Luxury,5.5,Business Casual
Hourglass,Business,"['Red', 'Black', 'Neutral']",Summer,Cotton,Male,Budget,4.7,Bohemian
Pear,Business,['Blue'],Spring,Silk,Male,Mid-range,2.2,Glam
Inverted Triangle,Business,['Blue'],Summer,Cotton,Unisex,Budget,9.2,Business Casual
Inverted Triangle,Formal,['Gold'],Fall,Silk,Female,Budget,7.4,Glam
Inverted Triangle,Casual,"['Green', 'Silver']",Spring,Polyester,Male,Luxury,2.0,Bohemian
Inverted Triangle,Wedding,['Blue'],Winter,Polyester,Female,Luxury,9.6,Glam
Rectangle,Party,"['Black', 'Red', 'Silver']",Summer,Polyester,Female,Budget,6.4,Business Casual
Oval,Party,['Green'],Summer,Polyester,Unisex,Mid-range,5.8,Glam
Pear,Casual,"['Green', 'Red']",Summer,Cotton,Unisex,Budget,4.5,Streetwear
Oval,Business,"['Black', 'Neutral', 'Green']",Fall,Cotton,Female,Budget,6.0,Streetwear
Pear,Formal,"['Silver', 'Black', 'Neutral']",Fall,Cotton,Male,Mid-range,1.8,Formal
Pear,Party,['Blue'],Fall,Silk,Unisex,Luxury,6.6,Glam
Oval,Formal,"['White', 'Green', 'Neutral']",Spring,Cotton,Female,Budget,3.8,Formal
Rectangle,Wedding,"['Green', 'Red']",Winter,Wool,Male,Budget,4.2,Bohemian
Pear,Wedding,['White'],Spring,Silk,Female,Mid-range,9.2,Business Casual
Pear,Party,['Black'],Summer,Polyester,Unisex,Mid-range,4.2,Glam
Hourglass,Wedding,"['Green', 'Black', 'Blue']",Winter,Denim,Female,Luxury,1.9,Glam
Oval,Casual,['Silver'],Fall,Cotton,Female,Luxury,8.2,Bohemian
Hourglass,Business,['Black'],Fall,Cotton,Unisex,Budget,5.3,Bohemian
Rectangle,Casual,['Red'],Fall,Cotton,Unisex,Luxury,2.2,Formal
Inverted Triangle,Formal,['Neutral'],Summer,Silk,Male,Budget,5.8,Business Casual
Hourglass,Party,"['Black', 'Green']",Winter,Wool,Male,Mid-range,3.2,Glam
Rectangle,Casual,"['Blue', 'Black', 'Gold']",Spring,Cotton,Male,Luxury,2.5,Bohemian
Inverted Triangle,Business,"['Red', 'Green', 'Neutral']",Summer,Polyester,Unisex,Mid-range,6.9,Business Casual
Inverted Triangle,Party,['Green'],Spring,Cotton,Unisex,Mid-range,2.0,Glam
Pear,Casual,"['Black', 'Neutral', 'White']",Fall,Polyester,Unisex,Mid-range,1.4,Formal
Oval,Casual,"['Red', 'Black']",Fall,Polyester,Female,Luxury,3.0,Formal
Pear,Casual,['Blue'],Winter,Denim,Unisex,Budget,6.1,Formal
Oval,Formal,"['Blue', 'Black', 'Silver']",Winter,Wool,Male,Luxury,1.8,Formal
Pear,Casual,"['Silver', 'Neutral', 'White']",Spring,Cotton,Female,Mid-range,9.5,Bohemian
Hourglass,Casual,['Silver'],Winter,Denim,Female,Budget,5.8,Business Casual
Rectangle,Casual,"['Blue', 'Red']",Fall,Polyester,Male,Mid-range,3.3,Bohemian
Oval,Formal,"['White', 'Red', 'Neutral']",Summer,Cotton,Female,Budget,8.5,Glam
Oval,Party,"['Blue', 'Silver']",Winter,Wool,Male,Luxury,4.1,Formal
Pear,Party,['White'],Winter,Denim,Unisex,Mid-range,3.9,Streetwear
Hourglass,Casual,"['Black', 'Green']",Summer,Cotton,Female,Budget,7.0,Bohemian
Oval,Business,['White'],Fall,Polyester,Unisex,Budget,5.5,Streetwear
Pear,Business,"['Silver', 'Neutral', 'Black']",Fall,Cotton,Male,Mid-range,7.9,Formal
Oval,Wedding,"['Neutral', 'White']",Fall,Silk,Unisex,Luxury,4.4,Glam
Oval,Formal,['Green'],Spring,Cotton,Unisex,Mid-range,6.9,Formal
Pear,Casual,"['Gold', 'Black', 'White']",Summer,Silk,Male,Budget,9.0,Streetwear
Hourglass,Casual,"['Blue', 'Black']",Fall,Polyester,Unisex,Luxury,8.9,Streetwear
Rectangle,Casual,"['Red', 'White']",Fall,Cotton,Male,Luxury,4.1,Business Casual
Oval,Formal,"['Black', 'Silver']",Fall,Polyester,Male,Luxury,9.7,Glam
Pear,Business,['Green'],Summer,Polyester,Unisex,Luxury,8.0,Glam
Inverted Triangle,Business,"['Green', 'Black', 'Blue']",Spring,Polyester,Unisex,Luxury,9.0,Bohemian
Rectangle,Business,"['Green', 'Gold']",Fall,Polyester,Unisex,Luxury,4.2,Bohemian
Pear,Casual,"['Neutral', 'Green']",Winter,Polyester,Male,Luxury,9.4,Business Casual
Hourglass,Formal,"['Black', 'Red']",Summer,Cotton,Female,Budget,6.1,Business Casual
Rectangle,Wedding,['Black'],Winter,Polyester,Female,Mid-range,6.3,Streetwear
Pear,Party,"['Black', 'Silver']",Summer,Cotton,Male,Luxury,3.9,Streetwear
Pear,Casual,['Blue'],Winter,Polyester,Female,Budget,6.2,Formal
Oval,Party,"['White', 'Black', 'Neutral']",Summer,Silk,Female,Budget,6.8,Bohemian
Hourglass,Formal,"['Neutral', 'Silver', 'Black']",Winter,Wool,Male,Mid-range,6.4,Formal
Pear,Party,"['Blue', 'Green', 'White']",Summer,Cotton,Male,Budget,6.0,Glam
Oval,Casual,['Neutral'],Spring,Cotton,Male,Budget,4.9,Formal
Hourglass,Wedding,['Neutral'],Summer,Silk,Unisex,Luxury,1.9,Streetwear
Pear,Casual,"['Black', 'Blue', 'Neutral']",Winter,Polyester,Female,Mid-range,3.1,Streetwear
Inverted Triangle,Business,"['Black', 'Blue']",Fall,Silk,Male,Luxury,9.8,Bohemian
Oval,Formal,"['Neutral', 'Blue', 'Green']",Winter,Wool,Female,Budget,1.7,Formal
Hourglass,Casual,"['Green', 'Neutral', 'Gold']",Spring,Silk,Unisex,Mid-range,3.1,Formal
Rectangle,Casual,['Blue'],Fall,Silk,Female,Luxury,1.3,Business Casual
Rectangle,Party,"['Blue', 'Green', 'Red']",Winter,Polyester,Female,Budget,3.9,Glam
Inverted Triangle,Party,['White'],Summer,Cotton,Male,Budget,2.8,Formal
Rectangle,Business,"['White', 'Green', 'Blue']",Spring,Silk,Male,Luxury,9.6,Streetwear
Hourglass,Business,"['Blue', 'Red', 'Gold']",Fall,Polyester,Unisex,Luxury,9.2,Business Casual
Inverted Triangle,Wedding,"['Black', 'White', 'Gold']",Spring,Cotton,Unisex,Luxury,8.6,Glam
Hourglass,Casual,['Blue'],Spring,Silk,Unisex,Mid-range,3.3,Bohemian
Rectangle,Business,"['Silver', 'Blue']",Winter,Polyester,Male,Luxury,4.4,Streetwear
Inverted Triangle,Business,['Silver'],Summer,Polyester,Female,Luxury,3.3,Business Casual
Oval,Formal,"['Red', 'Blue']",Spring,Cotton,Unisex,Mid-range,6.9,Formal
Pear,Business,"['Neutral', 'Red', 'Silver']",Summer,Silk,Unisex,Luxury,3.5,Bohemian
Inverted Triangle,Party,"['Silver', 'White']",Winter,Denim,Male,Luxury,9.2,Bohemian
Hourglass,Party,"['Red', 'Neutral']",Summer,Polyester,Female,Budget,2.5,Streetwear
Rectangle,Casual,"['Gold', 'Neutral']",Spring,Silk,Unisex,Budget,7.1,Streetwear
Pear,Party,"['Green', 'Black', 'Red']",Spring,Cotton,Male,Mid-range,3.0,Formal
Oval,Party,"['Blue', 'Neutral']",Summer,Cotton,Unisex,Luxury,6.1,Streetwear
Hourglass,Casual,"['Gold', 'Silver']",Fall,Silk,Male,Luxury,6.6,Streetwear
Inverted Triangle,Business,['Silver'],Fall,Polyester,Unisex,Budget,6.5,Business Casual
Rectangle,Business,"['White', 'Black']",Fall,Cotton,Male,Budget,7.0,Formal
Rectangle,Party,"['Green', 'Red', 'Silver']",Fall,Cotton,Female,Mid-range,3.2,Streetwear
Pear,Business,['Black'],Spring,Silk,Male,Budget,9.4,Streetwear
Rectangle,Business,"['Green', 'Black']",Fall,Cotton,Unisex,Luxury,9.3,Glam
Oval,Formal,"['Green', 'White', 'Gold']",Summer,Polyester,Male,Mid-range,9.1,Glam
Hourglass,Formal,"['Red', 'Silver']",Spring,Cotton,Female,Mid-range,5.3,Formal
Rectangle,Business,"['White', 'Neutral']",Fall,Silk,Female,Mid-range,5.7,Formal
Rectangle,Business,"['Red', 'Neutral']",Summer,Polyester,Male,Budget,5.4,Business Casual
Oval,Formal,['Neutral'],Summer,Polyester,Unisex,Mid-range,8.9,Formal
Inverted Triangle,Business,['White'],Summer,Cotton,Male,Budget,9.0,Formal
Oval,Business,"['Neutral', 'Gold', 'Red']",Spring,Cotton,Unisex,Budget,1.1,Streetwear
Rectangle,Party,['White'],Winter,Denim,Female,Budget,7.6,Glam
Pear,Business,"['White', 'Green', 'Gold']",Spring,Polyester,Female,Mid-range,1.0,Streetwear
Pear,Business,['Red'],Summer,Cotton,Male,Mid-range,4.2,Glam
Rectangle,Party,"['Blue', 'Red']",Winter,Wool,Unisex,Mid-range,9.9,Business Casual
Rectangle,Party,"['Neutral', 'Black', 'Green']",Summer,Cotton,Female,Mid-range,5.4,Glam
Pear,Party,"['Neutral', 'Black', 'Red']",Fall,Cotton,Male,Luxury,4.4,Glam
Oval,Casual,"['Neutral', 'Gold', 'Black']",Winter,Polyester,Unisex,Mid-range,5.6,Formal
Inverted Triangle,Party,"['Blue', 'Red', 'Silver']",Summer,Cotton,Unisex,Mid-range,1.9,Bohemian
Oval,Formal,"['Silver', 'White']",Winter,Denim,Female,Luxury,6.3,Glam
Oval,Casual,"['Blue', 'Neutral', 'White']",Fall,Cotton,Male,Budget,8.2,Glam
Rectangle,Business,"['Gold', 'White']",Spring,Polyester,Female,Budget,4.9,Streetwear
Inverted Triangle,Business,"['White', 'Gold']",Summer,Silk,Male,Budget,3.7,Business Casual
Inverted Triangle,Business,"['Gold', 'Black', 'Silver']",Fall,Cotton,Unisex,Luxury,3.7,Glam
Hourglass,Business,"['Black', 'Green', 'Gold']",Winter,Denim,Unisex,Budget,9.5,Business Casual
Hourglass,Party,"['Green', 'Neutral']",Winter,Polyester,Female,Mid-range,6.1,Bohemian
Rectangle,Casual,"['Silver', 'Red', 'Blue']",Summer,Cotton,Female,Luxury,8.0,Streetwear
Hourglass,Casual,['Neutral'],Spring,Silk,Female,Luxury,5.2,Glam
Hourglass,Business,['White'],Fall,Silk,Unisex,Luxury,1.7,Glam
Pear,Wedding,"['Neutral', 'Gold']",Winter,Denim,Male,Budget,8.3,Business Casual
Oval,Casual,"['Gold', 'Red']",Fall,Silk,Male,Luxury,1.8,Glam
Oval,Formal,"['White', 'Green']",Spring,Silk,Unisex,Budget,4.3,Formal
Inverted Triangle,Party,['White'],Winter,Wool,Male,Mid-range,9.7,Business Casual
Oval,Casual,"['White', 'Red']",Spring,Silk,Unisex,Budget,3.8,Glam
Rectangle,Formal,"['Green', 'White']",Summer,Cotton,Male,Mid-range,1.2,Formal
Rectangle,Formal,['Silver'],Summer,Polyester,Unisex,Luxury,6.1,Glam
Pear,Formal,"['White', 'Silver', 'Black']",Summer,Cotton,Male,Luxury,8.4,Formal
Rectangle,Casual,['Black'],Summer,Silk,Unisex,Luxury,4.0,Bohemian
Hourglass,Casual,"['Green', 'Blue']",Summer,Cotton,Female,Luxury,8.3,Formal
Pear,Business,"['Blue', 'Gold', 'Red']",Fall,Cotton,Male,Budget,7.4,Bohemian
Inverted Triangle,Wedding,['Red'],Winter,Wool,Male,Luxury,3.1,Business Casual
Oval,Party,"['Silver', 'Green', 'Gold']",Spring,Silk,Unisex,Luxury,8.2,Bohemian
Oval,Wedding,"['Neutral', 'Blue', 'White']",Winter,Wool,Male,Mid-range,2.5,Business Casual
Hourglass,Casual,"['Silver', 'Neutral', 'Green']",Winter,Denim,Unisex,Mid-range,6.5,Formal
Hourglass,Casual,['Gold'],Winter,Denim,Female,Mid-range,7.9,Glam
Hourglass,Casual,"['Neutral', 'White']",Fall,Cotton,Unisex,Luxury,4.8,Streetwear
Pear,Casual,['Blue'],Summer,Silk,Unisex,Budget,7.8,Glam
Inverted Triangle,Formal,['White'],Winter,Polyester,Male,Mid-range,9.8,Formal
Rectangle,Casual,['Neutral'],Spring,Cotton,Male,Mid-range,2.0,Bohemian
Pear,Formal,"['Blue', 'Silver']",Summer,Silk,Male,Luxury,9.4,Glam
Rectangle,Formal,"['White', 'Black']",Summer,Cotton,Female,Budget,6.7,Formal
Rectangle,Casual,"['White', 'Green']",Fall,Cotton,Unisex,Luxury,8.2,Formal
Rectangle,Party,"['Neutral', 'Green', 'Red']",Spring,Cotton,Male,Luxury,5.7,Bohemian
Rectangle,Formal,"['Red', 'White', 'Blue']",Winter,Denim,Male,Mid-range,1.2,Formal
Pear,Business,"['Neutral', 'Silver', 'Black']",Fall,Polyester,Male,Luxury,4.6,Streetwear
Oval,Casual,"['Black', 'Gold', 'Blue']",Fall,Polyester,Male,Mid-range,9.6,Glam
Pear,Casual,['Gold'],Summer,Silk,Unisex,Luxury,5.1,Glam
Pear,Formal,"['Neutral', 'Gold']",Summer,Cotton,Male,Luxury,4.2,Glam
Inverted Triangle,Wedding,"['White', 'Red']",Winter,Polyester,Male,Luxury,1.0,Formal
Rectangle,Formal,['Green'],Winter,Polyester,Male,Mid-range,8.9,Formal
Rectangle,Casual,['Green'],Summer,Cotton,Female,Luxury,8.9,Bohemian
Rectangle,Business,['Silver'],Summer,Silk,Unisex,Luxury,3.4,Business Casual
Oval,Formal,"['Blue', 'Silver']",Winter,Wool,Female,Luxury,9.4,Formal
Inverted Triangle,Business,['Red'],Spring,Cotton,Male,Budget,9.0,Bohemian
Rectangle,Business,['Black'],Spring,Cotton,Male,Budget,3.8,Streetwear
Inverted Triangle,Wedding,"['Neutral', 'Red']",Spring,Silk,Male,Budget,3.6,Streetwear
Hourglass,Business,"['Blue', 'Neutral']",Spring,Cotton,Male,Mid-range,7.2,Glam
Pear,Wedding,['White'],Winter,Wool,Male,Mid-range,1.4,Glam
Inverted Triangle,Casual,"['Neutral', 'White']",Spring,Cotton,Unisex,Luxury,3.5,Business Casual
Oval,Casual,['Green'],Fall,Polyester,Male,Mid-range,1.8,Business Casual
Hourglass,Casual,"['Green', 'Blue', 'Neutral']",Fall,Cotton,Female,Mid-range,10.0,Streetwear
Hourglass,Party,"['Neutral', 'Silver', 'Green']",Winter,Denim,Unisex,Luxury,3.1,Formal
Inverted Triangle,Party,['Black'],Spring,Silk,Unisex,Budget,9.5,Glam
Hourglass,Party,"['Gold', 'Silver']",Spring,Polyester,Unisex,Budget,6.7,Business Casual
Pear,Casual,"['Red', 'Neutral']",Summer,Silk,Unisex,Luxury,3.2,Streetwear
Pear,Party,['Red'],Spring,Silk,Male,Luxury,4.0,Business Casual
Oval,Formal,['Neutral'],Summer,Cotton,Male,Mid-range,7.0,Formal
Pear,Casual,"['Neutral', 'Silver', 'Green']",Summer,Polyester,Female,Mid-range,9.8,Business Casual
Oval,Formal,"['Neutral', 'Silver']",Winter,Polyester,Female,Luxury,2.7,Business Casual
Hourglass,Formal,"['Blue', 'Green', 'Gold']",Fall,Silk,Male,Luxury,9.4,Formal
Rectangle,Party,"['Red', 'Green']",Winter,Denim,Male,Mid-range,1.7,Streetwear
Pear,Party,['Black'],Spring,Polyester,Male,Luxury,1.2,Bohemian
Inverted Triangle,Party,"['Green', 'Silver', 'Gold']",Fall,Polyester,Unisex,Budget,2.7,Glam
Pear,Business,"['Black', 'White']",Spring,Cotton,Female,Mid-range,4.8,Business Casual
Rectangle,Formal,"['Green', 'Neutral', 'White']",Summer,Silk,Female,Budget,1.2,Glam
Pear,Casual,"['Green', 'White', 'Red']",Summer,Cotton,Male,Mid-range,5.0,Formal
Pear,Formal,['Blue'],Winter,Wool,Female,Budget,6.5,Formal
Inverted Triangle,Formal,"['Red', 'Neutral']",Winter,Wool,Male,Budget,9.5,Formal
Hourglass,Casual,['Neutral'],Fall,Silk,Male,Luxury,5.7,Bohemian
Hourglass,Formal,['Green'],Fall,Cotton,Unisex,Budget,8.3,Glam
Rectangle,Casual,"['Silver', 'White']",Spring,Polyester,Unisex,Budget,8.5,Streetwear
Oval,Business,['Neutral'],Winter,Wool,Female,Mid-range,5.0,Bohemian
Inverted Triangle,Wedding,"['Black', 'Blue', 'Silver']",Fall,Polyester,Female,Budget,2.4,Glam
Inverted Triangle,Casual,"['Black', 'White']",Fall,Cotton,Female,Budget,4.9,Streetwear
Inverted Triangle,Formal,"['Gold', 'Neutral']",Summer,Silk,Male,Luxury,2.7,Glam
